key,value
Dockerfile-jdk7,1
vc6,20
vc9,8
demo-extended/test/created_to_please_maven,1
DISCLAIMER,1
3ds,1
library/dep_libs/cxxdasp,1
src/fat/play/bg/listing/shortdescription,1
libs/networking,1
travis/run_on_non_pull_requests,1
png_,1
aFWall/src/main/res/raw/run_pie_arm,1
WORKSPACE,1
Application/build/intermediates/incremental/debug-mergeJavaRes/zip-cache/J_5wXtKY5iLo2l88pY7rRy7hNbo=,1
libraries/android-floating-action-button,1
guess,2
gpg,8
Cartfile,1
app/src/release/play/en-US/whatsnew,1
external/busybox/README,1
gpx,8
acceptance/test/created_to_please_maven,1
gradletasknamecache,3
store,10
app/src/main/assets/arm/app_process_xposed_sdk15,1
third_party,1
app/src/main/assets/arm/app_process_xposed_sdk16,1
CHANGELOG,5
libs/persistentedittext/LICENSE-MIT,1
app/src/main/assets/arm/app_process_xposed_sdk19,1
app/src/main/play/contactWebsite,1
script/bootstrap_configs,1
3V,1
xml~,7
svgz,1
rst,6
ogg,1
svn/all-wcprops,3
fastlane/Fastfile,1
utils/git-release,1
releaseBackup,1
src/fat/play/sk/listing/title,1
src/fat/play/fi-FI/listing/fulldescription,1
libs/wpcomrest/LICENSE-GPL,1
kts,2
aFWall/src/main/res/raw/nflog_x86,1
src/main/jni/Doxyfile,1
res/raw/iptables_x86,1
MERGESOURCE/SOURCES_README,1
raw,4
src/fat/play/ru-RU/listing/title,1
sas,2
st,5
LICENSE-GPL,1
realm,25
bz2,2
src/fat/play/no-NO/listing/fulldescription,1
extern/html-textview,1
chat_sdk_firebase_social_login/chat_sdk_firebase_social_login,1
7V,1
MaterialShowcaseView,1
Jenkinsfile,3
document-viewer/jni/mupdf/mupdf,1
src/fat/play/ru-RU/listing/shortdescription,1
Application/build/intermediates/incremental/debug-mergeJniLibs/zip-cache/levaZVr1UHwn2wGPPW7vwpb515M=,1
app/channel,1
news_fetch/server/BUILD,1
storage-api/NOTICE,1
deploy,1
ios/Podfile,1
debian/copyright,1
cipher,1
jsx,1
Processor,1
epub,12
smartyoutubetv/src/test/resources/tmp/mpd_one_item,1
exe,7
m,45
extern/zxing-android-integration,1
JPG,1
public_subkey,3
res/raw/nflog,1
jvm-tests/NO_DOCS,1
src/fat/play/ar/listing/fulldescription,1
src/main/java/third_parties,1
bzl,1
licenses/android-sdk-license,1
app/src/main/jni/include/boost,1
aFWall/src/main/res/raw/run_pie_x86,1
libraries/android-support-v4-preferencefragment,1
css_t,1
v10,14
OpenKeychain/src/test/resources/OpenPGP-Haskell/COPYING,1
buildSrc/src/main/resources/com/uber/okbuck/core/util/wrapper/BUCKW_TEMPLATE,1
buildSrc/src/main/resources/com/uber/okbuck/core/util/wrapper/WATCHMAN_CONFIG,1
assets/arm/xposedtest_sdk16,1
emojicon,1
examples/android-example/README,1
layout,7
copyright,1
cache,4
Application/build/intermediates/incremental/debug-mergeJniLibs/zip-cache/fMsJqDaXebJzfCZHZpsvN+0icQI=,1
clang-format,1
assets/busybox-xposed,1
jad,1
LICENSE-MIT,1
dj,2
Application/build/intermediates/incremental/debug-mergeJniLibs/zip-cache/J_5wXtKY5iLo2l88pY7rRy7hNbo=,1
db,10
App Log/todo,1
res/raw/klogripper_arm,1
xcuserstate,2
src/fat/play/ko-KR/listing/title,1
document-viewer/jni/jpeg/stamp-h1,1
netty,1
App Log/questions,1
eml,6
Application/build/intermediates/incremental/debug-mergeJavaRes/zip-cache/fMsJqDaXebJzfCZHZpsvN+0icQI=,1
WordPressEditor/src/main/assets,1
src/fat/play/contactPhone,1
src/fat/play/ar/listing/shortdescription,1
extern/bouncycastle,1
bak,2
wiki,1
Application/build/intermediates/incremental/debug-mergeJniLibs/zip-cache/PEI8PEFXVJH3OWYHNnp2gqxsdZk=,1
src/fat/play/sr/listing/title,1
dump,14
src/fat/play/cs-CZ/listing/fulldescription,1
libraries/spongycastle/build1-4,1
res/raw/nflog_x86,1
travis,1
app/src/main/java/org/schabi/newpipe/extractor,1
CHANGES,1
libraries/NetCipher,1
src/fat/play/sl/listing/shortdescription,1
realm-jni/src/Makefile,1
bazel/WORKSPACE,1
src/fat/play/no-NO/listing/title,1
dll,6
libraries,1
3,11
doc/package-list,1
props,1
AIMSICD/src/main/assets/CREDITS,1
external/iptables/configure,1
tx/config,5
libs/openpgp-api-lib,1
xslt,1
sdks/GithubAndroidSdk,1
external/Makefile,1
S,2
VirtualApp/lib/src/main/jni/HookZz/tests/arm-ios/makefile,1
jj,1
svgmask,8
atlas-gradle-plugin/atlas-plugin/src/main/resources/aapt/linux/aapt,1
res/raw/klogripper_x86,1
manx,2
app/src/main/play/contactEmail,1
OpenKeychain/src/test/resources/OpenPGP-Haskell/tests/data/onepass_sig,1
tld,2
ios/tutorials/tutorial3-completed/Podfile,1
pdf,1
tightdb-java-test/sizefile,1
TODO-v3,1
markdown,10
app/src/main/jni/include/glog,1
Application/build/intermediates/incremental/debug-mergeJavaRes/zip-cache/9w0uzPnixGH1+P+aIFYAMAXRsws=,1
pot,1
extern/snackbar,1
plugins/ActionBarSherlock,1
cf,1
Application/build/intermediates/incremental/debug-mergeJavaRes/zip-cache/w9TPWw9PE7gF9lTUwD0PE2O8CYg=,1
header,1
agignore,1
pom,1
tools/sync_test_server/Dockerfile,1
linux,1
mc6,2
tgn,2
orig,2
res/raw/iptables_mips,1
user_id,8
pt,1
SOURCES,1
py,42
MAINTAINERS,1
library/core/src/androidTest/assets/webvtt/typical_with_bad_timestamps,1
docs/graphics/src/mkicon,1
app/src/main/assets/x86/busybox-xposed,1
libs/utils,1
ccp/src/main/res/raw/countries,1
git-args-9XxQLF,1
swp,1
prefs,28
ShowcaseView,1
po,47
4,1
scripts/bump-version,1
res/raw/afwallstart,1
news_fetch/python/BUILD,1
tightdb_jni/src/Makefile,1
libs/wpcomrest,1
otf,4
bmp,1
src/fat/play/cs-CZ/listing/shortdescription,1
script/qark,1
app/src/main/assets/assistant_hooks,1
src/fat/play/en-UK/listing/title,1
src/fat/play/ko-KR/listing/fulldescription,1
external/iptables/COMMIT_NOTES,1
x/paperparcel-kotlin/package-list,1
doc/SConstruct,1
yorozuya,1
sln,2
6V,1
secret_key,4
Application/build/intermediates/incremental/debug-mergeJavaRes/zip-cache/yIZN2qw3AX1fHimQCjyQT_P4vco=,1
opt,1
config/hooks/pre-commit,1
src/fat/play/bg/listing/fulldescription,1
vm,28
src/fat/play/da-DK/listing/shortdescription,1
src/fat/play/hu-HU/listing/fulldescription,1
src/fat/play/en-UK/listing/shortdescription,1
conf,3
in,14
src/fat/play/sk/listing/shortdescription,1
buckw,1
License/CircleImageView,1
conf-example,2
tools/mct-dump2prox-emulator/mct-dump2prox-emu,1
CircleImageView,1
MockMaker,3
android-lockpattern/NOTICE,1
assets/arm/app_process_xposed_sdk15,1
gitignore~,1
external/iptables/INCOMPATIBILITIES,1
_drawable-xhdpi,1
conaco,1
status,1
tests/NO_DOCS,1
anki,3
src/fat/play/title,1
jks,8
Application/build/intermediates/incremental/debug-mergeJavaRes/zip-cache/m8dVhqYuYQp0USvRBolaLBHrKrg=,1
owncloud-android-library,2
robust,1
php,3
keep,1
gsp,1
libs/persistentedittext/LICENSE-GPL,1
sha1,2
DS_Store,9
debian/control,1
aFWall/src/main/res/raw/ip6tables_x86,1
6-scala/activator,1
6-java/conf/routes,1
flags,1
src/fat/play/sv-SE/listing/shortdescription,1
gitflow-integrate,1
less,1
5V,1
src/fat/play/fi-FI/listing/title,1
questions,1
res/raw/ip6tables_arm,1
ps1,1
sublime-workspace,1
install-api/NOTICE,1
add,1
blob,2
svn-base,18
doc/old_reference/package-list,1
bin,47
4/README,1
stackdump,1
server/BUILD,1
smartyoutubetv/src/test/resources/mpd_with_one_item,1
psd,2
ios/tutorials/tutorial1/Podfile,1
TODO,2
document-viewer/jni/jpeg/missing,1
public_key,4
app/otr4j,1
extern/openpgp-api-lib,1
library/src/androidTest/assets/subrip/typical_with_byte_order_mark,1
sdks/BaseSDK,1
extern/openpgp-card-nfc-lib,1
importorder,1
src/fat/play/sk/listing/fulldescription,1
testing/NO_DOCS,1
editorconfig,6
SQL,2
src/fat/play/fi-FI/listing/shortdescription,1
wait_for_emulator,1
works,1
ISSUE_TEMPLATE,1
xsl,3
mdicons,1
src/fat/play/cs-CZ/listing/title,1
old,1
smartyoutubetv/src/test/resources/KTN_News_Kenya,1
libraries/spongycastle/build15+,1
properties-example,9
anki2,1
webp,6
tools/make_emoji,1
diff,1
Dockerfile,3
aFWall/src/main/res/raw/ip6tables_arm,1
scala,5
app/src/main/play/defaultLanguage,1
dex-method-counts/dex-method-counts,1
pem,5
Application/build/intermediates/incremental/packageDebug/zip-cache/b_aodkhaAFBkTJyeWiz860SUChg=,1
src/fat/play/ar/listing/title,1
document-viewer/jni/mupdf/freetype/src/Jamfile,1
Application/build/intermediates/incremental/debug-mergeJniLibs/zip-cache/xkmxuvDKZrQrXpc5B65P3OcVql4=,1
library/src/androidTest/assets/dash/sample_mpd_2_unknown_mime_type,1
_layout,1
src/fat/play/pl-PL/listing/fulldescription,1
Application/build/intermediates/incremental/debug-mergeJavaRes/zip-cache/gvBoDCWPspoowqYzxZB3yhviRTI=,1
realm/realm-library/latest,1
res/values-iw,1
vcxproj,1
pbxproj,15
aFWall/src/main/res/raw/iptables_x86,1
src/fat/play/no-NO/listing/shortdescription,1
luav,2
Application/build/intermediates/incremental/debug-mergeJniLibs/zip-cache/0XXvdsXxMyZQE2FYizitUe+GIfo=,1
smartyoutubetv/src/test/resources/tmp/empty_mpd,1
library/src/main/dep_libs/cxxdasp,1
docs/graphics/legacy/White theme/Masterfiles/mkassets,1
src/fat/play/sv-SE/listing/title,1
pngtest,2
atlas-gradle-plugin/aapt/src/main/resources/aapt/linux/aapt,1
6-scala/conf/routes,1
libs/networking/libs/wpcomrest/LICENSE-MIT,1
el,2
Application/build/intermediates/incremental/debug-mergeJavaRes/zip-cache/0XXvdsXxMyZQE2FYizitUe+GIfo=,1
aFWall/src/main/res/raw/klogripper_arm,1
ppm,1
secret_subkey,3
watchmanconfig,1
Application/build/intermediates/incremental/debug-mergeJniLibs/merge-state,1
log,2
m4,2
docs/package-list,1
OpenKeychain/src/test/resources/OpenPGP-Haskell/README,1
vendor/native-secrets,1
realm/tools/bin/cgen,1
README,1
wav,2
wat,2
aFWall/src/main/res/raw/iptables_mips,1
src/fat/play/pl-PL/listing/title,1
httpclient,1
assets/x86/busybox-xposed,1
src/fat/play/ja-JP/listing/shortdescription,1
external/iptables/depcomp,1
src/fat/play/contactEmail,1
Application/build/intermediates/incremental/debug-mergeJavaRes/zip-cache/levaZVr1UHwn2wGPPW7vwpb515M=,1
Application/build/intermediates/incremental/debug-mergeJniLibs/zip-cache/m8dVhqYuYQp0USvRBolaLBHrKrg=,1
document-viewer/jni/mupdf/freetype/README,1
extern/KeybaseLib,1
config/hooks/install-pre-commit,1
sdk,1
src/fat/play/sr/listing/shortdescription,1
extern/SuperToasts,1
Application/build/intermediates/incremental/debug-mergeJniLibs/zip-cache/8loNU_rpPytU4NLB9p1hK+WXuNM=,1
document-viewer/jni/djvu/djvulibre,1
CREDITS,1
app/src/main/play/en-US/whatsnew,2
aFWall/src/main/res/raw/ip6tables_mips,1
OpenKeychain/src/test/resources/OpenPGP-Haskell/tests/data/symmetrically_encrypted,1
ai,2
am,4
tests/res/raw/arrivals_and_departures_for_stop_hart_3105,1
app/src/main/assets/CREDITS,1
extern/spongycastle,1
realm/realm-jni/src/Makefile,1
cmake,2
ios/tutorials/tutorial2/Podfile,1
library/src/androidTest/assets/webvtt/with_css_styles,1
config/hooks/pre-commit-stub,1
src/fat/play/bg/listing/title,1
libraries/Jumble,1
4V,1
ansi,1
svn/entries,3
sql,29
buildSrc/src/main/resources/com/github/okbuilds/core/util/wrapper/BUCKW_TEMPLATE,1
ios/tutorials/TicTacToe/Podfile,1
res/raw/busybox_g1,1
Application/build/intermediates/incremental/debug-mergeJavaRes/zip-cache/tvihn6Ci54CNSgN895MVCkXRqRI=,1
src/fat/play/sv-SE/listing/fulldescription,1
res/raw/nflog_mips,1
ios/tutorials/tutorial3/Podfile,1
src/fat/play/ko-KR/listing/shortdescription,1
smartyoutubetv/src/test/resources/mpd_no_items,1
directory,1
git-args-MaJqEz,1
